
 812253498=1000169|9166734545912|BOOKED|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Booked|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253498=1000169|9166734545912|FAIL|IN|INR|2590140^iibfregn^2590140^812253498|812253498|1770|Transaction Failed|SBIN|NA|2021-06-20 13:10:36|UPI|10001692021062000010|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854792=1000169|NA|No Records Found|NA|NA|NA|902854792|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854795=1000169|NA|No Records Found|NA|NA|NA|902854795|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854795=1000169|NA|No Records Found|NA|NA|NA|902854795|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854795=1000169|NA|No Records Found|NA|NA|NA|902854795|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854795=1000169|NA|No Records Found|NA|NA|NA|902854795|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902854795=1000169|NA|No Records Found|NA|NA|NA|902854795|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

