
 902861660=1000169|0600580374828|FAIL|IN|INR|902861660^iibfexam^801558959^101202109|902861660|472|Transaction Failed|SBIN|NA|2021-08-09 09:43:34|UPI|10001692021080900026|1000169|0.00^0.00||||||||||

 902861675=1000169|NA|ABORT|IN|INR|902861675^iibfexam^902861675^101202109|902861675|944|Transaction Aborted|NA|NA|2021-08-09 10:39:41|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861690=1000169|8996530089938|BOOKED|IN|INR|902861690^iibfexam^902861690^101202109|902861690|944|Transaction Booked|sbiepay|NA|2021-08-09 11:50:29|DC|10001692021080900055|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861690=1000169|8996530089938|BOOKED|IN|INR|902861690^iibfexam^902861690^101202109|902861690|944|Transaction Booked|sbiepay|NA|2021-08-09 11:50:29|DC|10001692021080900055|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861690=1000169|8996530089938|BOOKED|IN|INR|902861690^iibfexam^902861690^101202109|902861690|944|Transaction Booked|sbiepay|NA|2021-08-09 11:50:29|DC|10001692021080900055|1000169|0.00^0.00||||||||||

 902861694=1000169|NA|ABORT|IN|INR|902861694^iibfexam^801585183^101202109|902861694|944|Transaction Aborted|NA|NA|2021-08-09 11:54:21|NA|NA|1000169|0.00^0.00||||||||||

 902861685=1000169|NA|No Records Found|NA|NA|NA|902861685|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33238=1000169|NA|No Records Found|NA|NA|NA|33238|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

